PERIODO|ID_CLIENTE|CANT_CONSULTAS_PREV
2018-10-01|exIhnsaInMXppmztp1tUrHrcrbkz0oQUUJNk1dZMVdw=|1
2018-12-01|Y8E+jQuvL/TH+wCA/Dft9XzlSIhLoeEi6e11Ij16Kwk=|1
2018-11-01|9alGJ2u4XvYzxFxhoggDaInsL0shgffnmgewcwJN1+w=|2
2018-11-01|57UZQ3Z39E4ConPcrCRy+n+exJe574JtiqJu2Cg2n24=|2
2018-12-01|QIrNhfvzHAMDIkCdUNmVPviNpAzlSfyFJ3Ph12/pBa4=|1
2018-10-01|Yp9WlVbFpnKER8Vz6PMa0Iz74TA54Y1topopKso4n7k=|1
2018-12-01|PjTQWECN8aovmacEj8UggOsYm7EbTnaiUd0tCRlq70Q=|1
2018-10-01|PB83Ff5br2tKVeMXPn7TyM9rujTXExY6BFXui1NScsA=|1
2018-11-01|70YcUdrznIZgII8PCBFwrJ/jGfOPQZZ+ppebY8gmJsI=|1
2018-11-01|APio47TA3nbbGRYVMpMC56yBCrhg8n9VvbrbhHf6eN8=|2
2018-10-01|APio47TA3nbbGRYVMpMC56yBCrhg8n9VvbrbhHf6eN8=|7
2018-10-01|nGNOwdS/Z4Wrct86+ttYnugNHTZ2uAm77m2QUyHRgC0=|2
2018-10-01|UZJEav8DqyrzWNwZlf6J8DoaeN0tzG5AoFuUIAhXCXw=|1
2018-12-01|FgbGmG1yb35BAsN3GPstBosf2vSg54qnKnOEplsiZvc=|1
2018-12-01|cG0f9TwSNoNilgMRp0IWAfNsD2QcA4k7ZMkmGI0+c0M=|2
2018-12-01|qOdQZtMHb6Q4bku4IM5MB2yK8dv9AMTVYBHlgT8iipc=|1
2018-11-01|YHepsAotAvAeuuzrXAXyCI/taEuzW1wmE0mKfI6VH+E=|1
2018-10-01|rt8X0xpmIInJePhM1QW3OvaLagTO9oWCTK3uhFwibt0=|1
2018-12-01|RE8PZGtA6VIRsHBZR23mu5DKcS4yRj1Ux6K22owZF2Y=|1
2018-11-01|87VZeJ3NwrUGvmsdjQ8u5h75H9OHCJzvVfgDrfFm6xA=|1
2018-11-01|rxzjTeB9eH82h7a/aaiLLxNPER+qzeNVnYE66qbDO8g=|1
2018-12-01|p8zWa8YT1OMkSWEVXs7+498lM8mu2b9NBD0QP3kKShM=|1
2018-10-01|1TwtqXmW8vNAa50Jh0jf1saGgspQexRzD/kfLMUNN1I=|1
2018-10-01|+IZtfeBvjGKj5VVzDkHnHj4f45vcbcydr9O4z6fOrus=|1
2018-10-01|LqKvVxpEKsbrIn5FCkAeCxdGtERenF8xvYjuVPEwEcI=|1
2018-10-01|Dnk9ljb41C3LJHLBwonC/cvLNPFWV8hlf1DOCQWdNek=|1
2018-10-01|oqkOxNY/hKC7FRmko+pga62OZJzHYeDhUtXVubvIV9A=|1
2018-12-01|HF4ZbSvrFyno9RPHvx0UbC2gCelGL17Noi1c82khFbA=|1
2018-10-01|HF4ZbSvrFyno9RPHvx0UbC2gCelGL17Noi1c82khFbA=|1
2018-11-01|cWseI0fN1JLqGWrug2+cl8AzHKRisu0ZsdgUnXN1u7k=|1
2018-11-01|nBMr8QSXfuCYjFSBlhXGTwDCYh9DVJj6o1gteVynOMQ=|1
2018-12-01|jZeUWOKwwN04vFFPTs44CoXXzKAG82lEoFiIREWyeAo=|1
2018-12-01|7vtKBBoKLdcLrPFQS9D3D5tJqbyUnlbIq031RYgvDrg=|2
2018-11-01|Q1HLVFpC/I6qm3o5mO2Ypd6j4C212YEoC8XbUFu8z38=|1
2018-12-01|xtb2walRAZN7w/eDV/2B7iyb9lm3tJwXk2tTXZ7P3Io=|1
2018-11-01|E109Eed5egsjQQDK0VBHIqkICRpbRTfeNwp/PaLD9Lo=|1
2018-12-01|EnRtpH2u5mny3IGj7E5PBFOzJ9PQz5TeJCHYt//jn5o=|1
2018-12-01|wrJ6owPM2IpSijyMvQhxhs+It+Ul+tfXTrGDMGGCPto=|1
2018-12-01|hiCKkH60ro3vRAily0xdB9ysIOVvNZH6J9af748pP5M=|1
2018-11-01|5vpBmlCV4gHOoEBnMjIfZjt0iznro6eOldJFzcacCP4=|3
2018-12-01|B/ARSbmXJyTZm9LW+l9KLVNNOFQPUQJJ4Z299N70QFk=|1
2018-11-01|OSowOMd4t7FjDxaaTlgAtRpeuNiVo6z/b9mps5j8FRQ=|1
2018-12-01|t+kP2ecx/965PPpqg4Ow2bIcPo9MbrT7KvE659TMP8o=|1
2018-12-01|oHPsAv5kWd3JQtZtzKLgi+8ASTVMmFdq8X2d+dslx4w=|1
2018-10-01|l1hec+mMGsWvU0evKdTHhM0J4DncJ9iZxoVhUMBepRU=|1
2018-12-01|TWlxvQ2lUXTGbpHBUy61oFzubJfnMWXiAT48qTY+X4E=|1
2018-12-01|+Z+Sht6quwqePciEpEYwqu0/Sr4CeKiOvU6Zj5RS6KM=|4
2018-10-01|A4XrX2mv3XsBAXAoFBoqumvSZfmaAXFYe8Z3udOWqOM=|1
2018-11-01|6zKxOHWIccS29gNOWQZJ2nKpSTlC/5CoHd+0P7pwk6Q=|1
2018-12-01|mfICJAhVVro+RTM8vqGguF5pqLSMiJ3r2gOFONW+Ia0=|1
2018-10-01|8olyQHu1WxuKlu1bo2L2miCHCb2Eq16M6LUVuvNwEe0=|1
2018-11-01|pQXzAkFHftAUdfr1aFPlfuYMP0eOXIVk7PfokQtatuM=|1
2018-12-01|8W1tuDBLny6F8tXhqpcRmrvcoFdFa6X8lRJwUJmTKUU=|1
2018-12-01|xpPCmsCuIcRWyAGX1BjHHa0TA1v+VPHChpAh+gnawEA=|1
2018-11-01|l39qZCWf5Nz1x8AeSIdMRSu+9LNwuBTfQln+fuk1t0M=|1
2018-12-01|Udh2YkmZxQmzRixuZnCnVqNJ4XbXwQNKjUAQB5l6C5s=|1
2018-11-01|a8EKDOABZjva5t5zYU0S133YIfgZ/oi0zOcu0iufMRk=|1
2018-12-01|z35ZUuUDAVFEzyaNOiYZrIfCq/AIYcTcR7dAd2lcER8=|1
2018-11-01|z35ZUuUDAVFEzyaNOiYZrIfCq/AIYcTcR7dAd2lcER8=|1
2018-10-01|ZXW8kkG1YsK7hMVf2RFIjz4d49iNNi3rjXuG3xOJs2k=|1
2018-12-01|qtMj9a0eQhvk7UlBHbMIlD+mXQC2QChX1fabo4U84TQ=|2
2018-11-01|u17mkU9qtkKEKvlbnfGT7h2luyRTzS3xCi4iUSMOwTo=|1
2018-12-01|17K3QZbBf3ik1ve9WeOW8D7w1d/890oey0NahzE/M4U=|1
2018-12-01|VEs7YcpzN2Q/202XE/+mL/pBJBXG4XI8qKqL+ANtshc=|1
2018-11-01|sKR5e2hlQkO4TJ41DujGfhHlxE4WHEzXBU2tXekS6Pc=|1
2018-10-01|wk+ljTbyGMthE92zaSB+xpgWBGOSYhcXYzxTgzKlpnM=|1
2018-10-01|qwvrXpYhB5F92+uWhwro8jm5c8jyb/X1I2ciwWGhJ+M=|1
2018-12-01|DpVXCCLG0qTvEZ5xRSS+X27d+Y6nr8xyXv9Hv1BMjjQ=|1
2018-11-01|6R4fgbJVsAlkRuq9j9RFokqNwlw7ZVkaaSs9bce4cHI=|1
2018-12-01|yCtD/4a4NRddU5qYoiwFzu2G/1HCPaEvZnAsB0yuGkI=|1
2018-12-01|DqxfDJH5CWaS4m4eMh9gZXlBM7QdMu0UzOX+2IPdHPQ=|1
2018-12-01|LEoSt77NcitZHrj6DuNxke76d0lzf+LfPyH3RWAMIK4=|1
2018-10-01|nq5DyFwrSOdKpJi7qxBCMUF7bBcl7Z9MDaMFb87LEo8=|1
2018-10-01|r7mqDhJTB9jH2A9t6zgMxdBAitXXJanGrLNQ8TuqlBs=|1
2018-10-01|PBOkVG+WR0Sq0qD1WjAoio+A1IXCoauHBEIW3Hq7u+4=|1
2018-12-01|s/wcTWVOhaJVis71jz0x9ewZo8iwYsXDU0japoNKRb4=|1
2018-12-01|0iJF3jdTl/z2uh99/RLLy8r68VInIlOkqfKyJ5ijxdo=|2
2018-12-01|4DMyMlfily+QFxt8oYt3tvaarWKaVAUVjYzZ9hb8458=|1
2018-11-01|MIRYCzAm/Wt4ZAIoED/Qw/kVaEcA13xvcJPq5qhUUPE=|1
2018-12-01|q/62l9UCVay0fdx1cnbPchfUU7iFzGhLbivu5IPZ6tQ=|1
2018-12-01|ITDArCrP0M6o9FVPV1hVFRnpduzjMKRSyZxRGh9YKI4=|1
2018-11-01|1pmhHVs+7HLCElq++ZgO/RjZbIqwPIGsty8v5YbBi4I=|1
2018-12-01|1pmhHVs+7HLCElq++ZgO/RjZbIqwPIGsty8v5YbBi4I=|1
2018-11-01|fWJmMtCh/Mg9PKiTGhsjGbNfekzpcxVfGB0XPi6zsXQ=|1
2018-11-01|2+lOSWvELUDRqceSNOKdSQ8aU0goBc8fjR4o8i053I4=|1
2018-10-01|Y1rcCy8J5U3IgtHPk931vay4aTcHTDYQ0zuGNcwUlSQ=|1
2018-11-01|+HpAWl6dTBRjFIiFI6Fz8tIzEhyXR/PE8WDh082A2iM=|1
2018-10-01|+HpAWl6dTBRjFIiFI6Fz8tIzEhyXR/PE8WDh082A2iM=|2
2018-11-01|SBNw9jpmeJoaMsgToCspAld2OFWwuipL4RlTapyjDTk=|1
2018-10-01|SBNw9jpmeJoaMsgToCspAld2OFWwuipL4RlTapyjDTk=|1
2018-12-01|SBNw9jpmeJoaMsgToCspAld2OFWwuipL4RlTapyjDTk=|2
2018-10-01|vu3hZsnsBq9WWFvIoz56uEngj2PL/kCfaxoABCLcu/4=|1
2018-10-01|frkrRPXYmGYEqqHCurcmyjbagSL63FGYaBgQFkjFq2k=|1
2018-11-01|GQ+xwMesjYhH7ogOJe4p8dOe2Js/uv+Qd2TmMeUcGeM=|1
2018-11-01|hIgQUvn2kq++sc5CPSeU+iShuPIJaqzShiPsdVPlmv4=|1
2018-10-01|xL1BOY72zoxkCAddrkRzYHGGZIw+ndDszbuzg2W6i2k=|1
2018-11-01|1IjATHOauy8ao8DBbIIbYWRQ0Vd79z518usBYjK5W40=|1
2018-12-01|/d9jrp2MF1Dbk/JTmqaUc7I5LJKgbh7G1FDJWFJoRkI=|1
2018-12-01|b34QFQqKqk2PYmm95C5V6+Y+CT4VosPl/UwVPOsZKDw=|2
2018-10-01|/0SZ7Fpu5auAev8tO1L3t9vQ8M/PSXgJAf3GWb5Kz7c=|1
2018-12-01|/0SZ7Fpu5auAev8tO1L3t9vQ8M/PSXgJAf3GWb5Kz7c=|1
2018-12-01|GTnR1dtO2gJBVl74N/6LqLxkxCz3QwXovsFh1VYe2Vc=|1
2018-11-01|GTnR1dtO2gJBVl74N/6LqLxkxCz3QwXovsFh1VYe2Vc=|2
2018-12-01|V4GtHWiOWbrPmz4+hDHxF7WxSVIC7UTSdEVl4t0NLV0=|1
2018-12-01|zoBjLuCU2K0Zj/TpIApDxSFm4qmZug5rqIdsn2M1RDs=|1
2018-10-01|LUVNYeDFpl1PiSnpsCFdfzO/3IAXbcHYWCywYelY89M=|1
2018-12-01|+sl4mG+1uYqsYopeYuad6c2iIekio8ZUkB3gIeDzZXk=|1
2018-12-01|Sq5UMlDsMahc9BJWF2hGa2kMe18+j3ScfBlYyPStijU=|1
2018-11-01|5mXqN5i5TzqbLC8VF3rAeVhy4pzX2uIT0jfL14L+j8Y=|1
2018-12-01|u4h9g5V7/LPDUSfwgCxJ7ipgKaOC7sH8SGx0skeCAk8=|1
2018-10-01|uRs7+7XBLQYlz310Qhpq6zY1pOnSNsVXr5qKi/1L7R8=|1
2018-12-01|bZo6X0AFXuYlpJDatufAxEuRvLBfheRprMmYfof6zkw=|1
2018-12-01|xpMq5Ky4ot0nt4djGrfpVGK4COUCzMGYu8KHKIwBcYk=|1
2018-10-01|GyZnn8rIOSUHCuIVy5lGtBzfmSUxuoBJgWslU38RKbk=|2
2018-12-01|7zMgpThUXnjHRvu5NEqGedMY9KUk0kWiTJXMZtUZy7c=|1
2018-10-01|xFU6u6HPptyAOKCgZFJ0Hh8w/YXV9nzW7K/iTQc2KsM=|1
2018-11-01|qDhZCfoJPDonRmkfCcfxfw9CzwDijsjGuLAl2uWr0jg=|1
2018-12-01|PGR+Nww1qJ1fLtm86O/n4haTdrTw5SJuIy7kDmagyOE=|1
2018-11-01|hO7L0RstaGLgWZ0woQ9cp3gMRLj1yx3q+i3WWxqMoOg=|1
2018-11-01|ulQbNZ+0hK+u9Tw3RxKakOj7Jl6PhSHXdZ/RrRYKADo=|1
2018-11-01|UsY1iGdsWNtcCFHg0v6B8WLjYlTzPYVobpj8XqzK7S4=|1
2018-10-01|iC6us0rQ6cKx0nEXXUVDRDklWkx0Lix9aLm8xI1Xcjc=|1
2018-12-01|sOg7naZhBLNU9OD5PNBHYLVPSx+suuWVpRow5N6f6NM=|1
2018-11-01|bXqMrtlrddfy78FwrbXMpeB1mS+i5nXnYGOnmkDRv/A=|1
2018-10-01|bXqMrtlrddfy78FwrbXMpeB1mS+i5nXnYGOnmkDRv/A=|1
2018-12-01|S7540h0AbMNPmkfprXdOZvqbMLND3NU0v9tZjFEXpyk=|1
2018-10-01|FOcHSSXmpAu0oGr5oRl0vfcHAF2Kd8WsJaB/xFHIkpA=|2
2018-12-01|1WacP+inWgPUrK6KDQJoG/jQeTKB6Q/PUuR3u4pyNqI=|1
2018-11-01|vmJ3eVNaTK4LvZUt8a5G8pugXqAKeF7ECVRXO27TRcA=|1
2018-10-01|S+NXIWFnqOLrpkofLJEUDbe70qGucJb+lnRiwP9Nb7Q=|1
2018-12-01|GsGH2jcWbHD/TCHQMK9Fr4QNIm+4t6kgsRd7H4T/IC4=|1
2018-12-01|5NniCttckW+AZW0LP48Sq3YcTyaG/Y0YU3vlQ4ldhJs=|2
2018-11-01|3wOiZOZ+ocsqCnr3GqKHLT4JUrQz5a7baXsNXcr7aj8=|1
2018-12-01|iReqW47vWtfsrHSDyLBzwrnM7uXNb3YTGxYcbaP7kX8=|2
2018-11-01|OF+YdSn+soHyPBoVMG9aI8UnQlGf/lXriWXnAqPw9/E=|1
2018-12-01|bcZ52jH+vfGVoowIEZ5L07qEnYxraRh76JW1zMecdkA=|1
2018-12-01|d548vL3d5oGK8PcO6WNsCDoPSReeh9anaQmnYOOQcnM=|2
2018-11-01|Tv2XcUqLIr6cF+13Y70NaqXG3TZCRxB8aIcjqEuyKQQ=|1
2018-10-01|Tv2XcUqLIr6cF+13Y70NaqXG3TZCRxB8aIcjqEuyKQQ=|1
2018-12-01|Tv2XcUqLIr6cF+13Y70NaqXG3TZCRxB8aIcjqEuyKQQ=|1
2018-11-01|IQrObA8d0BR0YmHv3O2NtAn4y3ttD9BG2eIWWvSrVyw=|1
2018-10-01|Bthxe9rdPZbqdMNd4Y39j8YG1wLCFFLZtJ8Yx4SJDs0=|1
2018-12-01|CTyQu2Tpa4duIxZOr3R7uj0vwGHrzyI8pwHim8goXlI=|1
2018-11-01|oEMn7QLtEthEYrawWvDZpf+8CwAdov8uYnfeJcTmgQk=|1
2018-12-01|oEMn7QLtEthEYrawWvDZpf+8CwAdov8uYnfeJcTmgQk=|1
2018-10-01|OGMCgqason71ca47Y3TugP7SWWR3Rx/z4kLz2vFhT7Q=|1
2018-10-01|xoJe3D+TRr04O9rJTW4fEAx5cl2FH1XlCs/bGLWuns0=|1
2018-12-01|M3MN8oLqozBNLMsz06um27glZXTLxV27NMohvUwptjc=|1
2018-10-01|WTRH4wb6Q9WorIeiVDOw3YkGHi5eab1pB+vhOTHDWCM=|1
2018-12-01|PU5K28tmyzcidSJ7k4Eg7G4iuDTCjs7jY8/GyOG6eSo=|4
2018-12-01|DMRZyoLrgnPcOoSA/tC2n6y8oI5wXqeU9JIGIImv2jM=|1
2018-11-01|A5JnZMajg2W06C5kgJNHxnkZhN/Y1lEjs6c3LB02Ld0=|1
2018-11-01|37pf9bsj5boriJ33SnZHskYP6GwAEak6gQCCi2uoHvU=|1
2018-12-01|cIj5zI+UrOOvd3QrgU9INiz4rvLyavpiKZO6SXvjqNQ=|1
2018-12-01|2L4hFf2ovU1SSc5LILh5No83BuuFXPQSsI2JrwFjEPc=|2
2018-10-01|LvxaRm+oibzBfGIUGSWbA0W3vxjTucFUfvX4Qq7vJT0=|1
2018-12-01|dzxlC1uSJyDZJsNfwg4ug0H+9x1/ekg6vITrnVMsyno=|1
2018-10-01|OuT/J6i/sozDp9xbLzA6SlRAtKrvma3dxr+E1K7P5Hw=|1
2018-11-01|8pk3+zot1KdQDqycFGY8uCkD1wzL9uL6o+clF9Ot1KY=|2
2018-10-01|8pk3+zot1KdQDqycFGY8uCkD1wzL9uL6o+clF9Ot1KY=|1
2018-12-01|cHEZiUT75xi8mBcpKX03BNzgTsswuOaVy2HFpf1jvP4=|1
2018-10-01|QPVQ+VnphOILbf7mD800B4KdhvinTAym+7YmbYBBlWo=|1
2018-12-01|e8mIgC7YJb4ZuFHGoIhaGwfPFc7xJWO4mF+rx5AXaEg=|1
2018-12-01|15NvWyHtcQbXeIKrbo8mHIZfdUAg1QtRCfRMgmhjAGs=|1
2018-12-01|Z0dPnvGSD7SvP/Cu9ceFfQT9UA0lF/T6TPFecUI4DcA=|1
2018-11-01|gk09dlGJQamJ4Oq0MYoDMF62VoVKZ3hdlpOBB3CUIlE=|4
2018-10-01|gk09dlGJQamJ4Oq0MYoDMF62VoVKZ3hdlpOBB3CUIlE=|1
2018-12-01|RV0hEWqJc6UJ4bzrmqeM08Vezu+eIVFWKLIQvicBQ9M=|1
2018-11-01|ybRCxWufH1yXJxLHGvZd3VDItNRUbtG0CR4W191fxT8=|1
2018-11-01|EXQ0Jm0MR8kRR6zC4LSS2fUzZHcw5AMt7uiOjhJJ0Ik=|1
2018-10-01|0QVpgDrJgFbNi5UiImfgX5ZHcRWbPXAbeeBsO5Niq3E=|1
2018-11-01|4W2Ibq06tqGjNSJ3rXZcEmwggI1a0e7DF1i2bvenVRk=|1
2018-12-01|K0ZlcPGbU1UU60iqRbbH7NfWgh6HN2vpMzx7WglbVEQ=|1
2018-10-01|EI591QYsTTd+++PuvXWZ2EwaeuEwj3H1HgK+tPutHjs=|1
2018-11-01|EI591QYsTTd+++PuvXWZ2EwaeuEwj3H1HgK+tPutHjs=|2
2018-10-01|6JHMO91oPu957WVSuxtPa6WVdQU2IloBjCh56DGmKOQ=|1
2018-10-01|6PsC9DhCmtnt5apgtlxbV162m2eIKqCnG+4SSPidQ9M=|1
2018-12-01|6PsC9DhCmtnt5apgtlxbV162m2eIKqCnG+4SSPidQ9M=|1
2018-11-01|NVqOmlUzXrob0VZii9Pxce4ddhKVnRhdwlhKEjFxXg8=|1
2018-10-01|NVqOmlUzXrob0VZii9Pxce4ddhKVnRhdwlhKEjFxXg8=|2
2018-11-01|0kWPKQra4xVsJSTKS222PVPraTtyie9ibqzPY1qdeo8=|1
2018-12-01|GvfbNMK+CLV7L1j0dAT2kYHv0u0hnKpaVPfDQHM+GJA=|1
2018-11-01|tNwtrAIrg8RMDbuitzLbLeG+hcC4NC8kq91dNcQXfk8=|1
2018-11-01|reVHeopyOS797JxkEIAu3I2oj9j/XkSU6RsB2Zj3v3o=|1
2018-10-01|Xo2NMtB6k2fJvY3vLyUZlJ5LYjMklXn3SjL5YYjwTO8=|1
2018-12-01|j8j6OFusSFO0raeDnsN6lYD8Dv/t8pbd2szxOOvqpBM=|1
2018-10-01|rbR4/565tRnJhcFATeiGrJnEso81R+AJJoQhjccAxPY=|1
2018-12-01|LAUyZTGyfmgYN+jzffoTPgyNlB3Iob4M15Z3EW2/gwA=|1
2018-10-01|+iMOkLR75exOYG5GoD5aD31/4x3iwULJuUaLnCwkP80=|1
2018-12-01|5Y6U5Sn/nyDRg+M76yTO7JltXLLZfIx8TTwPB6Tb6Fw=|1
2018-11-01|GGuUc0zxt0oCwQrFG0pJk+zmgOmvNr3t4VPQfdQF10w=|1
2018-12-01|7Zgbk098wPMok7r9/9MFcrj9Z7otNWWuzoplZ26lK9Y=|1
2018-12-01|56fS+4jfr8SzacfK84K5dYoSFcQq8yeG4NFfzqUqiaE=|1
2018-12-01|gbxz35IbOcR5Iu886vGsdk2Tl2sip1S1nszbAwLxvv8=|1
2018-12-01|OcYK/tUCgGHZCBiG0UmNBusmjW119NNbZYqQi8e6A8Y=|1
2018-11-01|DRP7WzcfMM3t5zYS68PsyBd43DM5SJYE/V7WiOTESOg=|1
2018-11-01|jWN1qoSo0VDfgqlxtqBu/JxU/ZseG97N453xSINXUO4=|1
2018-11-01|K5Qlj2C5D4Nd/5ngiaH5gbEbjy8KooDyWx5g3fiaYTY=|2
2018-12-01|K5Qlj2C5D4Nd/5ngiaH5gbEbjy8KooDyWx5g3fiaYTY=|8
2018-10-01|3X8puyc4Z92nepHU1qRuAB3ubQ5uKWz8tFdoWAldKxA=|1
2018-12-01|pF2nJx5tHZhG92bISmVX9/eQDJF2/NgQGslniq3sDT0=|1
2018-10-01|T7cQqMiK0JV+JwTHgWXCSwlWsPKj7thJ146wlxmyqck=|1
2018-12-01|yP1NK+EwHqr1HMuzszydQ0IO95N1c/jUl5oig+Zsm5A=|1
2018-12-01|Yo2P7Dx4AsxBWUv0Ha4kMtU8jke5Hr7Te4XmYrF2rEk=|4
2018-12-01|gbr0w1cDfdfALbOwPtX3DWep0LKJ52SoTR7eOp7iKtw=|1
2018-12-01|Aytzf7aZ4EUUm5m+yrNogQIveAllBakrYEEWnNilXWs=|1
2018-11-01|6sRbcy9MGO5DD8OC9Q1gp1tFusGE+7H3cBl7D4HqvxI=|1
2018-10-01|mAiDaobAT2qDNZVTeSDlBULKLKd8p074t1cEsoTgdWM=|1
2018-11-01|KP8AMGby8e2EVHgN2T1VdTt9FlV/s3Vb4kaJ2+2AbDg=|1
2018-12-01|KP8AMGby8e2EVHgN2T1VdTt9FlV/s3Vb4kaJ2+2AbDg=|1
2018-10-01|J3ljfGUdNkHfR6vlUoqdlY5XB3IlGVfDP0ZHqVzc2hQ=|1
2018-11-01|w1t7aV334iy69nb/0bviYXCAqzJGZbSwNJ/lhteEiME=|2
2018-12-01|w1t7aV334iy69nb/0bviYXCAqzJGZbSwNJ/lhteEiME=|5
2018-11-01|XwHG+iE84tBNLcT88pm/uKcCCySE1BKfcdPxRex6Szc=|1
2018-12-01|f4gFvfchOTbVR72g+4l/FjiPg8iizrahleOGQIabkTo=|1
2018-12-01|Xsc7DIVzGIqwnSx4YqZ296ii/r3PAUOy8pt/BzkO4rA=|1
2018-10-01|Dx7TwE+tCY8316VO4F9mK1pYzQs1QQ9f9n358RP9iGM=|2
2018-12-01|DQXb8m4yBuHLN+OESZDwlV+W9yPxEDe/qgN2XvBo8ZQ=|1
2018-12-01|LBUjlVqwwiRbEGTGrgDLvEacbn1WUk+/7UUZb0cL+7A=|1
2018-11-01|DR64JyoWQpBVjZFFlYYjgYij5XT9gd8LSgezMAR88Jk=|1
2018-11-01|WbdumP51mlgJdgxG4f8378o4i4ya19pEfbYzzXNx2Z4=|1
2018-12-01|aHGwWhq7fqPCyNsK55i1f04Pk0iDChRoL996QsehH2E=|1
2018-11-01|kD3RyM5u0J3YLP1JBsxlJDnJ3RLUvGL9sj0k58gs2HY=|1
2018-10-01|rUGroWzy/+httLohkVw+2nytXn4Pmzr5R+kTkZXlf5A=|1
2018-10-01|y34uTeC7nqsXEmLEq2vCPvQbW5hbZhLJKgjPomgS2ZQ=|1
2018-11-01|XsmjAOcA29MB4aDJzFvR80WfHdiuBKHxfSbhunIOHsw=|1
